Title,Date,URL,Summary,Keywords,Location,Coordinates,Location Source,Word Count
Will Machar’s Release Unlock South Sudan’s Peace?,2025-12-29,https://southsudanherald.com/will-machars-release-unlock-south-sudans-peace/,"The article discusses the uncertain path to peace in South Sudan following a National Breakfast Prayers for Peace and Reconciliation event. Despite calls for inclusive dialogue and the release of First Vice-President Riek Machar, President Salva Kiir offered no specific assurances, leaving many worried about ongoing issues. International partners and activists emphasize the need for practical steps and adherence to the 2018 peace accord to achieve stability and enable democratic elections.","South Sudan, Riek Machar, Salva Kiir, peace, reconciliation, elections",South Sudan; Juba,"(30.5, 7.5); (31.5944, 4.8517)",extracted,253
Jonglei Alert: SPLM-IO Urges Civilians to Evacuate,2025-12-28,https://southsudanherald.com/jonglei-alert-splm-io-urges-civilians-to-evacuate/,"The SPLM-IO has issued a public safety alert in Northern Jonglei, South Sudan, due to renewed clashes with the SSPDF, urging civilians to evacuate or shelter indoors. The group claims to be engaged in ""genocide stoppage"" and self-defense, appealing for humanitarian assistance and promising access to prisoners of war. These hostilities threaten to worsen displacement and food insecurity in the region.","SPLM-IO, SSPDF, Jonglei, South Sudan, conflict, civilian safety, humanitarian crisis",Jonglei; Pieri; Motot; Paluony; Pathai; Waat,"(31.5, 7.5); (32.7483, 7.4208); (33.0031, 7.4764); (32.5333, 9.4833); (32.33333, 7.7); (32.9667, 7.8333)",extracted,300
Border Oilfield Drama: Heglig Nears a Hot Restart,2025-12-28,https://southsudanherald.com/border-oilfield-drama-heglig-nears-a-hot-restart/,"South Sudanese engineers have begun returning to the Heglig oilfield, signaling the first step towards restarting production after it briefly fell to Sudan’s Rapid Support Forces. A three-party agreement now sees South Sudan's military safeguarding the installations, with engineers reporting a calm atmosphere despite some RSF presence. The restart is crucial for the economies of both Sudan and South Sudan, with hopes for limited pumping to resume within weeks.","Heglig, oilfield, South Sudan, Sudan, Rapid Support Forces, oil production",Heglig,"(29.5303, 10.0711)",extracted,318
From Rebellion to Renewal: Mundri East’s Turning Point,2025-12-27,https://southsudanherald.com/from-rebellion-to-renewal-mundri-easts-turning-point/,"Mundri East, a region in Western Equatoria, is grappling with insecurity caused by unregulated checkpoints, cattle herders, and land disputes, disrupting daily life and eroding trust. Commissioner John Henry Ngalamu advocates for unity and collaboration over rebellion to foster economic revival and social cohesion. Authorities are pledging joint patrols and dialogue, with the community hoping for consistent engagement and tangible improvements.","Mundri East, insecurity, land disputes, South Sudan, community conflict",Mundri East,"(30.15, 4.5667)",extracted,267
Juba’s Christmas Security Sweep Nets 100 Suspects,2025-12-27,https://southsudanherald.com/jubas-christmas-security-sweep-nets-100-suspects/,"A Christmas Eve security operation in Juba, South Sudan, led to the detention of 100 suspects, including 16 soldiers, for various offenses like disorderly conduct and weapons possession. The sweep involved multiple security forces working to reduce street crime, with authorities assuring transparent judicial processes.","Juba, security sweep, Christmas Eve, South Sudan, arrests",Juba,"(31.5824, 4.8516)",extracted,156
Upper Nile Governor’s Christmas Unity Appeal,2025-12-26,https://southsudanherald.com/upper-nile-governors-christmas-unity-appeal/,"Governor Jacob Dollar Ruot of Upper Nile used his Christmas address to advocate for unity, mutual forgiveness, and peaceful coexistence among the diverse communities of Upper Nile. He emphasized that security is crucial for the delivery of essential services and urged politicians to reconcile for the sake of investment and development. The appeal aligns with national stabilization efforts, aiming to restore Malakal's former prosperity and encourage youth to build futures within South Sudan.","Upper Nile, South Sudan, peace, unity, governance, development",Upper Nile; Malakal; Juba,"(32.75, 9.5); (31.6606, 9.537); (31.5912, 4.8517)",extracted,278
Christmas Message of Unity Echoes in Juba Parish,2025-12-26,https://southsudanherald.com/christmas-message-of-unity-echoes-in-juba-parish/,"Governor Emmanuel Adil Anthony delivered a Christmas message of unity and peace at St. James Bari Parish in Juba, emphasizing social healing and economic recovery for Central Equatoria. He urged citizens to embrace love, sincerity, and generosity towards vulnerable neighbors as they look towards 2026.","Christmas, Juba, unity, peace, Central Equatoria, reconciliation",Juba,"(31.6065, 4.8517)",extracted,155
US Envoy’s Christmas Wish: South Sudan Peace 2026,2025-12-26,https://southsudanherald.com/us-envoys-christmas-wish-south-sudan-peace-2026/,"US Ambassador Michael J. Adler delivered a Christmas message in Juba, urging South Sudanese leaders and citizens to prioritize peace, dialogue, and reconciliation to make 2026 a landmark year. He emphasized that security is crucial for economic revival and social services, a sentiment echoed by analysts and diplomats. The ambassador highlighted Washington's long-standing support for the South Sudanese people, framing aid and policies around achieving peace.","South Sudan, peace, Juba, US Ambassador, 2026, reconciliation",Juba; South Sudan,"(31.5824, 4.8517); (31.0, 7.0)",extracted,306
Christmas Clashes In Jonglei Spark Urgent Ceasefire Plea,2025-12-26,https://southsudanherald.com/christmas-clashes-in-jonglei-spark-urgent-ceasefire-plea/,"Christmas Day in Jonglei, South Sudan, was marred by clashes between the South Sudan People’s Defence Forces, SPLA-IO, and White Army fighters. This violence prompted an urgent plea for a ceasefire from activist Edmund Yakani, who warned of potential escalation during the dry season and its dire impact on civilians and aid efforts amidst shrinking global aid budgets.","South Sudan, Jonglei, Ceasefire, Conflict, Christmas",Jonglei,"(31.5, 7.5)",extracted,168
Teen Tragedy Sparks Manhunt in Eastern Equatoria,2025-12-26,https://southsudanherald.com/teen-tragedy-sparks-manhunt-in-eastern-equatoria/,"A 14-year-old herder, Isidor Arun, was killed by a gunshot while tending cattle in Marguna Payam, Lafon County, Eastern Equatoria. The rifle, carried by 16-year-old Oputo Otong Muna, discharged accidentally. Muna, who was detained, escaped before customary mediation, prompting a manhunt by security forces.","Eastern Equatoria, gunshot, herder, manhunt, Lafon County",Eastern Equatoria,"(33.1667, 4.8333)",extracted,263
Sudan Drone Strike Forces UNISFA Exit From Kadugli,2025-12-25,https://southsudanherald.com/sudan-drone-strike-forces-unisfa-exit-from-kadugli/,"A drone strike in Kadugli on December 13 killed six UN peacekeepers and wounded nine others, leading UNISFA to withdraw all staff and NGO partners from the area. This closure ends nearly thirteen years of support operations and raises concerns about disruptions to cross-border trade and humanitarian aid. UNISFA is continuing its investigation and maintaining smaller sites while awaiting further guidance.","Sudan, UNISFA, Kadugli, drone strike, peacekeepers, South Kordofan",Kadugli,"(29.7042, 11.0189)",extracted,175
Midnight Cattle Raid in Jonglei Leaves 4 Dead,2025-12-25,https://southsudanherald.com/midnight-cattle-raid-in-jonglei-leaves-4-dead/,"Four people were killed and 300 cattle stolen in a midnight raid on a herders' camp in Jonglei State, South Sudan. The attack, suspected to be carried out by armed youth from the Greater Pibor Administrative Area, highlights the ongoing issue of cattle raiding and inter-communal violence in the region. Local officials are calling for increased security and early-warning systems.","Jonglei State, Cattle Raid, South Sudan, Pibor, Violence",Jonglei State,"(31.75, 7.5)",extracted,247
Christmas Appeal: Cardinal Ameyu’s Forgiveness Message,2025-12-25,https://southsudanherald.com/christmas-appeal-cardinal-ameyus-forgiveness-message/,"Cardinal Stephen Ameyu Martin Mulla delivered a powerful Christmas Eve sermon in Juba, urging South Sudanese families to embrace forgiveness and love amidst memories of conflict. His message emphasized reconciliation as a path to lasting peace, resonating with both youth and other religious leaders. The archdiocese plans outreach programs to continue fostering community healing.","Cardinal Ameyu, South Sudan, forgiveness, peace, Juba, reconciliation",Juba,"(31.5825, 4.8517)",extracted,350
Christmas Truce? Activist Pressures Kiir to Act,2025-12-24,https://southsudanherald.com/christmas-truce-activist-pressures-kiir-to-act/,"Civil society leader Edmond Yakani has urged South Sudanese President Salva Kiir to declare a nationwide Christmas ceasefire and release political detainees to foster reconciliation and public confidence. He also cautioned against unilateral amendments to the 2018 peace agreement and the draft constitution, emphasizing the need for consensus among all signatories. Yakani highlighted insecurity, funding issues for electoral bodies, and a restrictive political climate as major impediments to the 2026 elections, advocating for inclusive dialogue and goodwill gestures for stability.","South Sudan, ceasefire, political detainees, peace agreement, elections",Juba,"(31.5833, 4.85)",extracted,212
Bor Clashes: 4 Dead After Firearms Ban Showdown,2025-12-24,https://southsudanherald.com/bor-clashes-4-dead-after-firearms-ban-showdown/,"Four people were killed in Bor, Jonglei State, after security personnel confronted armed civilians who refused to surrender their weapons. The incident involved a chase and shootout, resulting in the death of one officer and three suspected gunmen. Authorities suspect the civilians were part of the Red Belt vigilante movement and have restored calm to the area while increasing patrols.","Bor, Jonglei State, firearms ban, Red Belt, clashes, South Sudan",Bor,"(30.6222, 6.2243)",extracted,185
Seven Hotspots Locked Down for Festive Safety,2025-12-24,https://southsudanherald.com/seven-hotspots-locked-down-for-festive-safety/,"Eastern Equatoria State has implemented a pre-holiday security operation in Torit town, deploying mixed forces to seven strategic points to ensure safety during Christmas and New Year. The initiative aims to create a secure environment for celebrations, deterring crime with a unified command and strict discipline among forces. Residents and activists have expressed mixed reactions, with hopes for reduced crime but concerns about detention procedures.","Eastern Equatoria State, Torit, security surge, holiday safety, South Sudan",Torit,"(32.571, 4.8239)",extracted,273
Midnight Blaze in Yambio Leaves Survivor Homeless,2025-12-23,https://southsudanherald.com/midnight-blaze-in-yambio-leaves-survivor-homeless/,"A woman in Yambio, South Sudan, lost her home to an arson attack shortly before midnight on Monday, highlighting a concerning rise in violent crime in the Duduma neighborhood. Police and county officials are implementing increased patrols and joint operations with the army to address the insecurity, while church groups are organizing night vigils. The survivor is receiving temporary shelter as authorities investigate and residents hope for swift arrests to restore peace.","Yambio, arson, violent crime, insecurity, Duduma",Yambio,"(28.3917, 4.5739)",extracted,295
South Sudan Clergy’s Urgent Christmas Peace Plea,2025-12-22,https://southsudanherald.com/south-sudan-clergys-urgent-christmas-peace-plea/,"On Christmas Eve, Archbishop Justin Badi Arama of the South Sudan Council of Churches urged national leaders to prioritize peace and implement the 2018 peace deal, citing widespread suffering and weakened public confidence. He called for the release of political detainees and unconditional dialogue between rival leaders to ensure lasting stability. The Church also requested international assistance for displaced families facing conflict and floods.","South Sudan, peace plea, Christmas, Archbishop Justin Badi Arama, political detainees, humanitarian aid",Juba,"(31.5714, 4.8517)",extracted,281
Outcry Over UN Staff Killing in South Sudan,2025-12-22,https://southsudanherald.com/outcry-over-un-staff-killing-in-south-sudan/,"Bol Rhoch Mayol Koul, a UN language assistant, was killed in South Sudan on December 15, 2025, sparking outrage from the UN and international community. The Transitional Government condemned the killing, pledged swift justice, and announced an arrest, while several embassies issued a joint statement urging accountability and protection for international personnel.","South Sudan, UNMISS, Killing, Justice, Humanitarian",South Sudan; Wau; Juba,"(31.0, 7.0); (27.6, 7.7); (31.6, 4.8)",extracted,199
Will Honest Talks Save South Sudan’s Fragile Peace?,2025-12-21,https://southsudanherald.com/will-honest-talks-save-south-sudans-fragile-peace/,"South Sudan's 2018 Revitalised Agreement for peace is facing instability due to delayed reforms, contested timelines, and economic hardship. Activist Edmund Yakani emphasizes the need for genuine dialogue within established institutions to address grievances and prevent a return to conflict. He urges regional and international partners to press leaders to uphold their commitments and prioritize compromise for credible elections.","South Sudan, peace agreement, conflict, dialogue, security reforms",South Sudan,"(30.5842, 6.877)",extracted,199
Bloody Dawn Raid Shakes Warrap Fishing Camp,2025-12-21,https://southsudanherald.com/bloody-dawn-raid-shakes-warrap-fishing-camp/,"Suspected youths from Unity State attacked a fishing camp in Warrap on December 16, killing one and wounding two. The incident highlights ongoing tensions between cattle-keeping communities and has prompted warnings for residents to avoid wetlands. Authorities are also investigating a separate cattle theft incident.","Warrap, Unity State, Gogrial East County, fishing camp, cattle looting, inter-communal violence",Warrap; Gogrial East County; Unity State; Malual-Adoor; Wau Teaching Hospital; Mayom; Twic County; Mayen-Amuol; Lakes,"(28.6667, 8.0); (28.5925, 8.3562); (30.25, 8.75); (28.257778, 8.825833); (27.9902, 7.7029); (29.35, 9.25); (28.983333, 9.083333); (28.5348, 9.176); (30.5, 6.5)",extracted,162
UN Staffer Death in Wau: Army Arrests Suspect,2025-12-20,https://southsudanherald.com/un-staffer-death-in-wau-army-arrests-suspect/,"A South Sudanese UN language assistant, Bol Rhoch Mayol Kuol, died in Wau while detained by SSPDF soldiers. The foreign ministry of South Sudan condemned the killing, calling it a breach of national law, and announced the arrest of a suspect. Both national and UN teams are investigating the exact cause of death, with the government reaffirming its commitment to transparency and accountability.","Wau, UNMISS, South Sudan, SSPDF, Bol Rhoch Mayol Kuol, investigation",Wau,"(27.6014, 7.7083)",extracted,289
UN Builds $50k Police Academy Transforming Bentiu,2025-12-20,https://southsudanherald.com/un-builds-50k-police-academy-transforming-bentiu/,"The UN has inaugurated a new $50,000 police academy in Bentiu, South Sudan, aimed at improving the investigative skills and professional conduct of local officers. This initiative, funded by UNMISS, seeks to strengthen the rule of law, protect civilians, and build trust within Unity State through specialized training and community engagement.","UNMISS, Bentiu, South Sudan, Police Academy, Security",Bentiu,"(29.8333, 7.6333)",extracted,182
Grassroots Peace Drive Unveils Home-Grown Fund,2025-12-20,https://southsudanherald.com/grassroots-peace-drive-unveils-home-grown-fund/,"The Civic Engagement and Peacebuilding Initiative Consortium (CEPIC) in Juba, South Sudan, held a forum to discuss peacebuilding achievements and priorities, emphasizing unity, inclusive governance, and home-grown solutions. They launched the Peace Initiative Fund to counter shrinking international grants and ensure continued reconciliation efforts. Despite challenges like budget shortfalls, the consortium aims to expand its reach, especially among youth, to foster lasting peace.","peacebuilding, South Sudan, civic engagement, community",Juba,"(31.5833, 4.85)",extracted,347
Upper Nile Bets on Landmark Peace Gathering,2025-12-19,https://southsudanherald.com/upper-nile-bets-on-landmark-peace-gathering/,"Upper Nile's Deputy Governor Deng Joh Angok is organizing a landmark peace and reconciliation forum in Malakal to address years of violence and restore stability. The initiative aims to foster collective forgiveness, facilitate inclusive dialogue between community members, and lay the groundwork for economic revival and sustainable resource management, ultimately hoping to unlock the region's full potential.","Upper Nile, peace forum, reconciliation, South Sudan, Malakal",Upper Nile; Malakal,"(32.5, 9.5); (31.6667, 9.5333)",extracted,183
Deadly Abyei Strike Forces UN Exit from Kadugli Hub,2025-12-18,https://southsudanherald.com/deadly-abyei-strike-forces-un-exit-from-kadugli-hub/,"The United Nations has withdrawn its main logistics hub from Kadugli after a deadly drone strike killed six Bangladeshi peacekeepers. This attack, attributed to the ongoing conflict between the Sudanese army and the Rapid Support Forces, has raised concerns about humanitarian aid access. UNISFA's core mission of monitoring the disputed border continues, with a potential return to Kadugli if security improves.","Abyei, Kadugli, UNISFA, Sudan, South Sudan, drone strike",Abyei; Kadugli,"(28.5333, 10.4667); (29.6253, 11.0069)",extracted,271
South Sudan’s New Reformers: How Dr. Chol Deng Thon Abel and Bak Barnaba Chol Are Restoring State Credibility,2025-12-18,https://southsudanherald.com/south-sudans-new-reformers-how-dr-chol-deng-thon-abel-and-bak-barnaba-chol-are-restoring-state-credibility/,"South Sudan is undergoing a significant transformation in governance, led by Dr. Chol Deng Thon Abel and Hon. Bak Barnaba Chol. Dr. Chol's diplomatic success in securing the Heglig oilfield and Minister Bak's efforts to restore financial credibility and combat corruption are redefining the country's international image and attracting renewed investor confidence. This new leadership demonstrates a commitment to probity, legitimacy, and competence, signaling a hopeful new chapter for South Sudan.","South Sudan, governance reform, oil diplomacy, financial credibility, anti-corruption",Heglig,"(29.47, 10.04)",extracted,1009
Child Soldiers Freed to UN in South Sudan,2025-12-18,https://southsudanherald.com/child-soldiers-freed-to-un-in-south-sudan/,Eight child soldiers were freed to the UN Mission in South Sudan by SPLM-IO officials in Lankien. These youths had escaped an SSPDF training site and will receive counselling and medical screening before being reunited with their families. This handover signifies increased cooperation between SPLM-IO and the UN in child protection.,"child soldiers, South Sudan, UNMISS, SPLM-IO, SSPDF",Lankien; Gelachiel; Nyirol; Bor; Nasir; Ulang,"(32.835, 7.765); (32.744, 9.274); (32.793, 7.422); (31.564, 6.223); (33.15, 8.65); (33.193, 8.016)",extracted,211
Yambio’s Youth & Women Step Up for Lasting Peace,2025-12-18,https://southsudanherald.com/yambios-youth-women-step-up-for-lasting-peace/,"A workshop in Yambio, South Sudan, brought together over fifty youth leaders, women representatives, and traditional chiefs for intensive peacebuilding training. Organized by SIHA, the 'From Dialogue to Leadership' project aimed to enhance mediation and advocacy skills, addressing conflict resolution, digital citizenship, and promoting women's voices in decision-making to foster lasting peace in Western Equatoria State.","peacebuilding, Yambio, South Sudan, women leadership, conflict resolution, Western Equatoria",Yambio,"(28.384, 4.572)",extracted,312
"South Sudan Police Promise Safe, Hate-Free Christmas",2025-12-16,https://southsudanherald.com/south-sudan-police-promise-safe-hate-free-christmas/,"South Sudan's National Police Service is increasing patrols and implementing security measures across the country to ensure a safe and hate-free Christmas season. Maj. Gen. Monday Anoka emphasized combating hate speech, responsible media reporting, and community involvement to prevent crime and ethnic tensions. The police urge citizens to report suspicious activities and maintain restraint for a peaceful holiday.","South Sudan, Christmas, Police, Hate Speech, Security, Juba",South Sudan; Juba,"(30.0, 7.0); (31.6, 4.85)",extracted,293
Juba Lawmaker’s Killing Rekindles ‘Unknown Gunmen’ Fear,2025-12-15,https://southsudanherald.com/juba-lawmakers-killing-rekindles-unknown-gunmen-fear/,"Luka Mathen Toukpiny Luk, a Council of States member, was shot and killed in his Juba compound, rekindling fears about 'unknown gunmen.' The attack has prompted calls for a transparent security review and swift justice, with authorities reporting arrests and ongoing investigations. The incident highlights deeper issues within South Sudan's security landscape and tests the country's peace roadmap.","Juba, Luka Mathen Toukpiny Luk, Unknown Gunmen, South Sudan Security",Juba,"(31.5824, 4.8517)",extracted,341
Spy Gear & Sandalwood: Juba Grounds UN Fleet,2025-12-15,https://southsudanherald.com/spy-gear-sandalwood-juba-grounds-un-fleet/,"South Sudan has temporarily grounded four planes contracted to the UN Mission in South Sudan due to undisclosed surveillance devices and suspected sandalwood smuggling. An independent committee is investigating the private contractors, not UNMISS itself, to ensure national airspace safety and address environmental violations.","South Sudan, UNMISS, surveillance, sandalwood, airspace",Juba,"(31.571475, 4.85165)",extracted,239
Manhunt Looms: Bor County Ultimatum to Red Belt Boss,2025-12-15,https://southsudanherald.com/manhunt-looms-bor-county-ultimatum-to-red-belt-boss/,"Bor County administration has issued an ultimatum to Red Belt commander Leek Mamer, demanding his surrender amidst widespread security sweeps in Jonglei State. County leaders are determined to re-establish government authority and end insecurity, emphasizing that the campaign targets lawbreakers, not communities. Officials are preparing for a manhunt if negotiations for a peaceful surrender fail, while youth leaders urge disarming once effective state protection is guaranteed.","Bor County, Red Belt, Leek Mamer, Jonglei State, insecurity, South Sudan",Bor County,"(30.7304, 6.2234)",extracted,380
Agenda Dispute Delays South Sudan Peace Talks,2025-12-15,https://southsudanherald.com/agenda-dispute-delays-south-sudan-peace-talks/,"Peace talks in Juba, South Sudan, aimed at discussing a revitalized peace deal, were delayed due to an agenda dispute. Representatives from the SPLM-IG and allied groups walked out, arguing that certain topics were already resolved. Organizers are working to address the concerns to secure broader endorsement for the dialogue.","South Sudan, peace talks, Juba, SPLM-IG, agenda dispute",Juba,"(31.6092, 4.8516)",extracted,177
Bank Scandal Suspects Moved for Trial After 2 Years,2025-12-15,https://southsudanherald.com/bank-scandal-suspects-moved-for-trial-after-2-years/,"Sixteen suspects, detained for nearly two years by National Security, have been transferred to Malakia Police Station to commence standard judicial procedures. They are accused of involvement in illegal transactions that siphoned money from the Central Bank in 2023. This move is seen as vital for transparency and the suspects' rights, allowing for family visits and medical attention, with investigations expected to proceed quickly.","Bank Scandal, National Security, Malakia Police Station, Judicial Procedures, Central Bank",Malakia; Juba,"(31.605, 4.846); (31.6, 4.85)",extracted,187
Juba’s Stand: UN Bases in Wau and Bentiu Under Fire,2025-12-15,https://southsudanherald.com/jubas-stand-un-bases-in-wau-and-bentiu-under-fire/,"South Sudan's foreign affairs minister, Monday Semaya Kumba, declared the closure of UNMISS hubs in Wau and Bentiu as ""non-negotiable,"" asserting it as a matter of national sovereignty despite ongoing humanitarian concerns. This demand comes as UNMISS undergoes a gradual reduction of peacekeepers due to a system-wide budget crunch, requiring a 15 percent spending cut within six months. The dispute over these strategic bases, critical for humanitarian access, remains unresolved even with a joint technical committee in place.","South Sudan, UNMISS, Wau, Bentiu, peacekeeping, sovereignty, humanitarian access",Wau; Bentiu; Juba,"(27.5962, 7.7029); (29.8344, 9.2333); (31.6067, 4.8517)",extracted,261
Wau Market Police Patrols Spark Festive Calm,2025-12-15,https://southsudanherald.com/wau-market-police-patrols-spark-festive-calm/,"Extra police patrols in Wau's Jou Market have significantly reduced theft incidents ahead of Christmas, according to local vendors. This increased security has also positively impacted commodity prices and consumer confidence, with officials considering similar deployments elsewhere.","Wau, police patrols, theft, market security, South Sudan",Wau,"(27.5962, 7.7028)",extracted,138
Mystery Killing of South Sudan MP Shakes Juba,2025-12-14,https://southsudanherald.com/mystery-killing-of-south-sudan-mp-shakes-juba/,"Luka Mathen Toukpiny Luk, a South Sudanese MP for Cueibet County, was fatally shot in his Juba compound on Tuesday night after evening prayers. Unidentified assailants breached his gate, and while two suspects are in custody, two accomplices remain at large. The motive for the killing is unknown, raising concerns about the safety of officials in South Sudan.","South Sudan, MP, Killing, Juba, Security, Investigation",Juba,"(31.57147, 4.85165)",extracted,268
Lakes State Signs Landmark Cattle Route Peace Pact,2025-12-14,https://southsudanherald.com/lakes-state-signs-landmark-cattle-route-peace-pact/,"Lakes State recently hosted a two-day forum in Rumbek, bringing together over 200 chiefs, youth leaders, and officials to establish safe dry-season cattle routes. The meeting resulted in a peace pact with clear rules on grazing and water access, aiming to prevent conflict and promote coexistence among communities. This agreement, monitored by youth and traditional chiefs, seeks to end years of cyclical violence by addressing issues like cattle raids and ensuring adherence to a harmonized code.","Lakes State, cattle routes, peace pact, Rumbek, conflict resolution, South Sudan",Lakes State; Rumbek,"(30.0, 6.0); (29.6722, 6.8197)",extracted,242
Kenyan Envoy’s Bold Call for South Sudan Peace,2025-12-14,https://southsudanherald.com/kenyan-envoys-bold-call-for-south-sudan-peace/,"Kenya's ambassador to South Sudan, Jeremy Nyamaso Ndola, called for continued support for the South Sudan peace roadmap during Kenya's 62nd Jamhuri Day reception in Juba. He emphasized that stability is crucial for the country's social and economic future, linking security to inclusive growth, human rights protection, and increased business confidence. Ndola urged regional and international partners to maintain their mediation efforts as the transitional roadmap deadlines approach, expressing optimism that collective backing can help South Sudan achieve peace.","South Sudan, Kenya, peace roadmap, diplomacy, Juba",Juba,"(31.6, 4.85)",extracted,341
